adm1,eta,rho,a0,sigma2,max_age,rA,rT,rD,rU,rP,dE,delayGam,cD,cT,cU,gamma1,d1,dID,ID0,kD,uD,aD,fD0,gammaD,alphaA,alphaU,b0,b1,dB,IB0,kB,uB,phi0,phi1,dCA,IC0,kC,uCA,PM,dCM,delayMos,tau1,tau2,mu0,Q0,chi,bites_Bed,bites_Indoors,muEL,muLL,muPL,dEL,dLL,dPL,gammaL,km,cm,betaL,num_int,itn_cov,irs_cov,ITN_IRS_on,DY,d_ITN0,r_ITN0,r_ITN1,r_IRS0,d_IRS0,irs_half_life,itn_half_life,IRS_interval,ITN_interval,eir,__missing,treatment_seeking
WESTERN,0.00010958904109589041,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.4102570829897608,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,81.34513693266001,True,0.582969745
CENTRAL,0.00010702054794520547,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.55367409228753,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,87.59435709003805,True,0.702795337
GREATER_ACCRA,0.00010222858311183807,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.35037515038663725,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,62.1,False,0.757497732
VOLTA,0.00010035626473982639,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.5723815830298243,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,108.9971591599756,True,0.789921723
EASTERN,0.00010222858311183807,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.5464474616403202,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,93.02901038286352,True,0.827496732
ASHANTI,0.00010871928680147858,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.5230419916137029,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,113.56239798444443,False,0.606210189
WESTERN_NORTH,0.00011228385358185493,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.7164736700228939,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,75.43065117231072,True,0.582969745
AHAFO,0.00010958904109589041,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.700957150007343,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,73.85208656768016,True,0.757674286
BONO,0.00010702054794520547,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.6565947813791506,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,32.710789885000004,False,0.757674286
BONO_EAST,0.0001156002543205595,0.85,2920,1.67,36500,0.00512821,0.2,0.2,0.00906627,0.06666667,12,12.5,0.0676909,0.0217964698,0.006203,1.82425,0.160527,3650,1.577533,0.476614,9.44512,8001.99,0.007055,4.8183,0.757,0.186,0.590076,0.5,3650,43.8787,2.15506,7.19919,0.791666,0.000737,10950,18.02366,2.36949,6.06349,0.774368,67.695,10,0.69,2.31,0.86,0.92,,0.89,0.97,0.0338,0.0348,0.249,6.64,3.72,0.643,13.25,11,0.05,21.2,4,0.5845389302648403,0.0,-1,365,0.41,0.56,0.24,0.6,1,182.5,963.6,365,1095,207.41170289000002,False,0.757674286
